Document_ID1	Document_ID2	Similarity
1121	2306	0.7267511589055811
1666	1949	0.9092656687068302
589	887	0.9052630682672632
2067	2652	0.7107455467579926
2149	2159	0.7638639523117854
998	1527	0.7925017900620165
950	1354	0.9456417082034198
750	1047	0.7487962610117347
1809	2665	0.7630372537598238
960	981	0.9946339753502864
104	1623	0.8663553005550602
378	1623	0.8744822170544794
1924	2418	0.7279859530647045
274	700	0.7786804017154572
1084	1818	0.9515283641817778
179	2401	1.0
573	2246	0.764242412283767
1229	1719	0.736480973751383
1848	2141	0.9654202217619959
99	1001	0.8294900347763684
727	2359	0.8022519926171606
1354	1429	0.7992799433846849
1708	2449	0.8812202517993611
210	732	1.0000000000000002
1001	2212	0.7549809317676835
428	2160	0.7414022146845829
346	1680	1.0
1147	2140	0.8943028175335849
713	2585	0.7412246903833453
226	1018	0.7508072115936344
2000	2449	0.9149206135137976
1088	1659	0.7038448114935318
23	1194	0.7042096966431893
503	683	0.9397082158088409
686	999	0.7379892389328225
1946	2632	0.8115024602056347
555	1434	0.7196132522878308
401	2083	0.7643997827846283
248	1324	0.8576198161709153
2006	2581	0.7970237562515994
876	1128	0.7411583858656737
1192	1283	0.7216504580528434
296	1890	0.8914232481026312
159	1074	0.8900926811234189
1274	1821	0.7536838038779382
22	1776	0.7164915046122313
39	2436	1.0000000000000002
1668	1786	0.7514682866732072
433	633	0.8220104690513556
282	1229	0.7046732573633058
316	793	0.755785867231645
1394	2124	0.902357173497268
1240	2624	0.7006709341015634
568	2546	0.8476092110336564
557	1752	1.0000000000000002
1316	1861	1.0
681	1423	0.7269971275912481
228	1038	0.9255374732625793
871	1439	0.7478920227844199
34	1531	0.8664994608105394
1296	1635	0.7095711135642859
587	1040	0.8518803466779913
9	1389	0.7250593680553746
73	769	0.7177133548895238
512	751	0.7432391826980932
42	74	0.7454744814833715
221	1621	0.8167638344476271
546	2102	0.7448904437236443
501	1674	0.7431378139213145
1103	1176	0.8442744746849111
27	867	0.7298627374620238
1591	2046	0.9176247524985024
129	1292	0.9124079138401118
186	282	0.7324152641924263
1417	1877	0.7510414862244628
450	1877	0.8865005105820005
1409	2532	0.707453386569064
1376	2698	0.7214812669761814
1360	2323	0.7404119194447762
2512	2585	0.7130935920605462
171	943	1.0
615	2377	0.753318417581434
349	2330	0.706437673584155
848	1114	0.8014734335744607
1532	1797	0.8229044274072784
1274	2478	0.7198937763997452
864	1114	0.8588940752721347
1971	2278	0.7133834470970369
575	1579	0.9441169199855362
