Doc_1		Doc_2		Similarity
2139		8574		0.8860139787651093
298		5888		0.7892569456677302
1969		4475		0.7060302720610798
9295		11504		0.8960988533521539
398		4752		0.7158251260279203
2609		5234		0.8323164805722395
4974		9061		0.8364778279878813
10154		11384		0.7240793693865186
2243		3127		0.9518674105402712
3574		7600		0.9286351269236154
156		5800		0.748602723502746
2803		6073		0.808562633278503
6835		10039		0.7859189406564024
1049		6784		0.7260891279925932
609		6017		0.9015198266538269
493		1813		0.8194661802850678
1404		7685		1.0
2727		11637		0.833538252129405
11022		12095		0.894811322404362
3469		9560		0.8054928587518948
7079		11425		0.7446147527832938
444		4605		0.8038909239211801
9869		11301		0.7254088451523188
3893		6856		0.7170741534729917
7630		8620		0.7220176991768457
3643		9546		0.7669996769678773
1365		2010		0.7609116471102517
2139		6594		0.8088872321293569
4116		11643		0.7328435100212111
6937		11837		0.7044840781585557
2420		8172		1.0
9174		11767		0.760727679769949
3273		8884		0.7514793813867268
7363		9375		0.9110140232618503
6804		10178		1.0
4032		5707		0.776999074028122
2516		5833		0.7301923488684868
1746		10642		0.9931960883394477
9252		9313		0.7940048989050962
8924		11974		0.7682019206905207
9680		11240		0.7232660514101931
1975		3888		0.7807765848152264
7952		10687		0.7378917162715476
7911		11937		0.734882586702437
5698		6623		0.7448077133917586
5194		9990		0.7449107194318577
314		572		0.7283436889966876
7901		8205		0.7661722827299877
3255		11937		0.7506360290434129
4567		5478		0.7160090572980342
2664		6660		0.7127296923144261
303		5676		0.7043509954633526
10240		11546		0.7821697828478572
1235		6132		0.7252857657840374
4706		6390		0.9632336821935894
63		11301		0.76608053191331
2392		3470		0.837794796395441
4884		5029		0.8418146771436247
5641		6905		0.7686021642299752
2646		8414		0.8568095022823484
1014		2423		0.7293168868784132
255		3763		0.7292608518065274
6648		10192		0.7521855393305166
6835		10574		0.7031389689377678
2455		3497		0.7565093033269377
5717		6174		0.7266493730899949
89		8620		0.736459663773932
3795		4416		0.886679598143661
10929		11871		0.7903760419380085
3069		6554		0.8731574585218431
2423		10066		0.8061000037231754
2973		4246		1.0
969		7342		0.7827413933484965
2848		4134		0.7783938426698243
5827		8224		0.7164280312715131
8826		9918		0.7121411357954973
9742		10055		0.7235715854087861
7045		8301		1.0
8813		11888		0.7584613171661185
5470		6198		0.7643704698136364
5761		10066		0.7668771001407115
2808		4145		0.9104695157933388
3141		4116		0.716821487323222
1674		7721		1.0
2423		5761		0.8712416659241331
4627		9248		0.7254027856491613
3776		5890		0.8266494322759357
2207		6654		0.8044105202614138
3396		7403		0.7322886083820662
3824		10321		0.7495150963366018
9937		10631		0.7091205225638595
7866		9143		0.8171678820128899
4587		11871		0.7141927544601931
7006		11305		0.7079781156790206
4637		12031		0.7056441307281025
6950		11231		0.7249049301714495
10337		12145		0.707976448164372
8884		10240		0.7356132479525296
5088		7633		0.7047512138766147
7563		10839		0.8760515845183898
6791		10066		0.7725142123569494
6232		12087		0.7210909123832284
5244		10240		0.7005318484026284
6232		11937		0.7142816404585987
11685		11937		0.7095547819871798
79		8782		0.715479780563487
6531		8699		0.7535266186215674
8884		9680		0.7530864760863285
1453		4795		0.7120911366701196
4335		9788		0.7957513557816087
6654		9375		0.7342698728697544
5761		6791		0.7293475364389479
8158		9287		0.7206446558007482
7669		8205		0.740198621064296
2031		3893		0.804231350466211
9502		11301		0.7661633406550074
5723		11221		0.7261896617326502
5339		10834		0.734583796542809
178		7003		0.7422792536391783
2474		5913		0.7259887239128863
981		3299		0.7129367295206157
9630		9680		0.7744516511470452
12117		12145		0.8379264854050544
4062		9691		0.7670140775882508
3553		8498		0.7152210593441035
7660		8941		0.9040971325138053
5550		10893		0.7268564107003809
3414		6784		0.7260891279925932
9597		10558		0.808427244137199
2293		9680		0.7174397146667603
7882		11901		0.8005694350452173
2611		6453		0.740421517894976
5234		10627		0.734787651100019
1891		10947		0.7458086296111132
4721		8862		0.71655848585846
5459		9787		1.0
11305		11873		0.7599596564921192
1354		1813		0.8158758579342401
3548		7630		0.7078616429837934
2568		6791		0.7816509997020994
3384		6785		0.9600917112013261
4462		6249		0.9412168094327281
4053		5202		0.8534214326154381
4767		7946		0.7273496156663588
4742		9444		0.7740612585510053
2293		10240		0.7598544255521722
402		5858		0.7977118444523512
3976		8001		0.7502432732034477
2581		3777		0.7476883814881189
4035		5130		0.7292836361925721
2146		10834		0.775953896628817
117		8164		0.7338100653242049
437		4643		0.8758975917320674
7338		9646		0.7004475342820143
1068		7120		0.8764851654472487
5229		8244		0.8124207767408489
4595		9313		0.75772776553514
493		1354		0.8281347690641707
3578		6508		0.8801693954447607
